kind,capacity,config,levels,datasets,mean_hits,mean_hit_rate_percent,variance_hit_rate_percentage_points_squared,stddev_hit_rate_percentage_points,min_hit_rate_percent,max_hit_rate_percent
hotshift20,100,LRU20_LFU80,2,40,11837.475,59.187375,0.075240,0.274299,58.685000,59.755000
hotshift20,100,LRU20_LIRS80,2,40,11882.025,59.410125,0.069204,0.263067,58.770000,59.915000
hotshift20,100,LRU_100,1,40,11599.675,57.998375,0.060540,0.246049,57.545000,58.435000
hotshift20,125,2Q_125,1,40,12225.250,61.126250,0.065475,0.255881,60.510000,61.605000
hotshift20,125,ARC_125,1,40,11994.975,59.974875,0.056417,0.237523,59.435000,60.515000
hotshift20,125,BELADY_125,1,40,13776.325,68.881625,0.016458,0.128289,68.670000,69.130000
hotshift20,125,LFU_125,1,40,2532.450,12.662250,0.081447,0.285390,11.835000,13.140000
hotshift20,125,LIRS_125,1,40,11407.000,57.035000,0.063103,0.251202,56.490000,57.485000
hotshift20,125,LRU_125,1,40,11705.100,58.525500,0.062560,0.250120,58.040000,58.945000
hotshift20,150,2Q_150,1,40,12424.450,62.122250,0.060358,0.245678,61.790000,62.670000
hotshift20,150,ARC_150,1,40,12178.325,60.891625,0.072263,0.268818,60.295000,61.445000
hotshift20,150,BELADY_150,1,40,13998.175,69.990875,0.015150,0.123085,69.785000,70.255000
hotshift20,150,LFU_150,1,40,2556.200,12.781000,0.097350,0.312010,11.895000,13.415000
hotshift20,150,LIRS_150,1,40,11473.475,57.367375,0.064108,0.253195,56.820000,57.785000
hotshift20,150,LRU_150,1,40,11808.825,59.044125,0.057001,0.238749,58.540000,59.420000
hotshift20,175,2Q_175,1,40,12619.325,63.096625,0.064739,0.254439,62.675000,63.625000
hotshift20,175,ARC_175,1,40,12325.725,61.628625,0.060629,0.246231,61.280000,62.220000
hotshift20,175,BELADY_175,1,40,14185.050,70.925250,0.011924,0.109198,70.665000,71.130000
hotshift20,175,LFU_175,1,40,2582.725,12.913625,0.099462,0.315375,12.040000,13.575000
hotshift20,175,LIRS_175,1,40,11541.075,57.705375,0.064993,0.254937,57.110000,58.165000
hotshift20,175,LRU_175,1,40,11908.525,59.542625,0.050320,0.224322,59.070000,59.900000
hotshift20,200,2Q_200,1,40,12810.525,64.052625,0.072358,0.268994,63.460000,64.615000
