dataset,kind,seed,config,capacity,levels,requests,hits,misses,hit_rate_percent
uniform_04.txt,uniform,4,LFU_100,100,1,20000,4938,15062,24.690000
uniform_04.txt,uniform,4,LFU_125,125,1,20000,6154,13846,30.770000
uniform_04.txt,uniform,4,LFU_150,150,1,20000,7432,12568,37.160000
uniform_04.txt,uniform,4,LFU_175,175,1,20000,8685,11315,43.425000
uniform_04.txt,uniform,4,LFU_200,200,1,20000,9904,10096,49.520000
uniform_04.txt,uniform,4,LFU_25,25,1,20000,1232,18768,6.160000
uniform_04.txt,uniform,4,LFU_50,50,1,20000,2435,17565,12.175000
uniform_04.txt,uniform,4,LFU_75,75,1,20000,3682,16318,18.410000
uniform_04.txt,uniform,4,LIRS_10,10,1,20000,504,19496,2.520000
uniform_04.txt,uniform,4,LIRS_100,100,1,20000,4932,15068,24.660000
uniform_04.txt,uniform,4,LIRS_125,125,1,20000,6159,13841,30.795000
uniform_04.txt,uniform,4,LIRS_150,150,1,20000,7459,12541,37.295000
uniform_04.txt,uniform,4,LIRS_175,175,1,20000,8716,11284,43.580000
uniform_04.txt,uniform,4,LIRS_200,200,1,20000,9942,10058,49.710000
uniform_04.txt,uniform,4,LIRS_25,25,1,20000,1244,18756,6.220000
uniform_04.txt,uniform,4,LIRS_50,50,1,20000,2466,17534,12.330000
uniform_04.txt,uniform,4,LIRS_75,75,1,20000,3687,16313,18.435000
uniform_04.txt,uniform,4,LRU20_2Q80,100,2,20000,4220,15780,21.100000
uniform_04.txt,uniform,4,LRU20_ARC80,100,2,20000,3901,16099,19.505000
uniform_04.txt,uniform,4,LRU20_LFU80,100,2,20000,4124,15876,20.620000
uniform_04.txt,uniform,4,LRU20_LIRS80,100,2,20000,4021,15979,20.105000
uniform_04.txt,uniform,4,LRU_10,10,1,20000,503,19497,2.515000
uniform_04.txt,uniform,4,LRU_100,100,1,20000,4890,15110,24.450000
uniform_04.txt,uniform,4,LRU_125,125,1,20000,6184,13816,30.920000
uniform_04.txt,uniform,4,LRU_150,150,1,20000,7445,12555,37.225000
uniform_04.txt,uniform,4,LRU_175,175,1,20000,8701,11299,43.505000
uniform_04.txt,uniform,4,LRU_200,200,1,20000,9981,10019,49.905000
uniform_04.txt,uniform,4,LRU_25,25,1,20000,1234,18766,6.170000
uniform_04.txt,uniform,4,LRU_50,50,1,20000,2475,17525,12.375000
uniform_04.txt,uniform,4,LRU_75,75,1,20000,3656,16344,18.280000
uniform_04.txt,uniform,4,BELADY_10,10,1,20000,3518,16482,17.590000
uniform_04.txt,uniform,4,BELADY_25,25,1,20000,6004,13996,30.020000
uniform_04.txt,uniform,4,BELADY_50,50,1,20000,8613,11387,43.065000
uniform_04.txt,uniform,4,BELADY_75,75,1,20000,10493,9507,52.465000
uniform_04.txt,uniform,4,BELADY_100,100,1,20000,12032,7968,60.160000
uniform_04.txt,uniform,4,BELADY_125,125,1,20000,13260,6740,66.300000
uniform_04.txt,uniform,4,BELADY_150,150,1,20000,14335,5665,71.675000
uniform_04.txt,uniform,4,BELADY_175,175,1,20000,15246,4754,76.230000
uniform_04.txt,uniform,4,BELADY_200,200,1,20000,16057,3943,80.285000
uniform_05.txt,uniform,5,2Q_10,10,1,20000,524,19476,2.620000
uniform_05.txt,uniform,5,2Q_100,100,1,20000,5066,14934,25.330000
uniform_05.txt,uniform,5,2Q_125,125,1,20000,6272,13728,31.360000
uniform_05.txt,uniform,5,2Q_150,150,1,20000,7563,12437,37.815000
uniform_05.txt,uniform,5,2Q_175,175,1,20000,8768,11232,43.840000
uniform_05.txt,uniform,5,2Q_200,200,1,20000,9973,10027,49.865000
uniform_05.txt,uniform,5,2Q_25,25,1,20000,1257,18743,6.285000
uniform_05.txt,uniform,5,2Q_50,50,1,20000,2541,17459,12.705000
uniform_05.txt,uniform,5,2Q_75,75,1,20000,3824,16176,19.120000
uniform_05.txt,uniform,5,ARC_10,10,1,20000,500,19500,2.500000
uniform_05.txt,uniform,5,ARC_100,100,1,20000,5012,14988,25.060000
uniform_05.txt,uniform,5,ARC_125,125,1,20000,6279,13721,31.395000
uniform_05.txt,uniform,5,ARC_150,150,1,20000,7511,12489,37.555000
uniform_05.txt,uniform,5,ARC_175,175,1,20000,8743,11257,43.715000
uniform_05.txt,uniform,5,ARC_200,200,1,20000,10034,9966,50.170000
uniform_05.txt,uniform,5,ARC_25,25,1,20000,1271,18729,6.355000
uniform_05.txt,uniform,5,ARC_50,50,1,20000,2485,17515,12.425000
uniform_05.txt,uniform,5,ARC_75,75,1,20000,3755,16245,18.775000
uniform_05.txt,uniform,5,LFU_10,10,1,20000,499,19501,2.495000
uniform_05.txt,uniform,5,LFU_100,100,1,20000,5054,14946,25.270000
uniform_05.txt,uniform,5,LFU_125,125,1,20000,6265,13735,31.325000
uniform_05.txt,uniform,5,LFU_150,150,1,20000,7530,12470,37.650000
uniform_05.txt,uniform,5,LFU_175,175,1,20000,8796,11204,43.980000
uniform_05.txt,uniform,5,LFU_200,200,1,20000,10039,9961,50.195000
uniform_05.txt,uniform,5,LFU_25,25,1,20000,1263,18737,6.315000
uniform_05.txt,uniform,5,LFU_50,50,1,20000,2507,17493,12.535000
uniform_05.txt,uniform,5,LFU_75,75,1,20000,3820,16180,19.100000
uniform_05.txt,uniform,5,LIRS_10,10,1,20000,510,19490,2.550000
uniform_05.txt,uniform,5,LIRS_100,100,1,20000,5038,14962,25.190000
uniform_05.txt,uniform,5,LIRS_125,125,1,20000,6342,13658,31.710000
uniform_05.txt,uniform,5,LIRS_150,150,1,20000,7549,12451,37.745000
uniform_05.txt,uniform,5,LIRS_175,175,1,20000,8741,11259,43.705000
uniform_05.txt,uniform,5,LIRS_200,200,1,20000,9964,10036,49.820000
uniform_05.txt,uniform,5,LIRS_25,25,1,20000,1249,18751,6.245000
uniform_05.txt,uniform,5,LIRS_50,50,1,20000,2520,17480,12.600000
uniform_05.txt,uniform,5,LIRS_75,75,1,20000,3813,16187,19.065000
uniform_05.txt,uniform,5,LRU20_2Q80,100,2,20000,4267,15733,21.335000
uniform_05.txt,uniform,5,LRU20_ARC80,100,2,20000,3994,16006,19.970000
uniform_05.txt,uniform,5,LRU20_LFU80,100,2,20000,4250,15750,21.250000
uniform_05.txt,uniform,5,LRU20_LIRS80,100,2,20000,4078,15922,20.390000
uniform_05.txt,uniform,5,LRU_10,10,1,20000,511,19489,2.555000
uniform_05.txt,uniform,5,LRU_100,100,1,20000,4986,15014,24.930000
uniform_05.txt,uniform,5,LRU_125,125,1,20000,6245,13755,31.225000
uniform_05.txt,uniform,5,LRU_150,150,1,20000,7494,12506,37.470000
uniform_05.txt,uniform,5,LRU_175,175,1,20000,8776,11224,43.880000
uniform_05.txt,uniform,5,LRU_200,200,1,20000,10034,9966,50.170000
uniform_05.txt,uniform,5,LRU_25,25,1,20000,1279,18721,6.395000
uniform_05.txt,uniform,5,LRU_50,50,1,20000,2521,17479,12.605000
uniform_05.txt,uniform,5,LRU_75,75,1,20000,3740,16260,18.700000
uniform_05.txt,uniform,5,BELADY_10,10,1,20000,3529,16471,17.645000
uniform_05.txt,uniform,5,BELADY_25,25,1,20000,6044,13956,30.220000
uniform_05.txt,uniform,5,BELADY_50,50,1,20000,8646,11354,43.230000
uniform_05.txt,uniform,5,BELADY_75,75,1,20000,10545,9455,52.725000
uniform_05.txt,uniform,5,BELADY_100,100,1,20000,12040,7960,60.200000
uniform_05.txt,uniform,5,BELADY_125,125,1,20000,13284,6716,66.420000
uniform_05.txt,uniform,5,BELADY_150,150,1,20000,14350,5650,71.750000
uniform_05.txt,uniform,5,BELADY_175,175,1,20000,15266,4734,76.330000
uniform_05.txt,uniform,5,BELADY_200,200,1,20000,16074,3926,80.370000
uniform_06.txt,uniform,6,2Q_10,10,1,20000,455,19545,2.275000
uniform_06.txt,uniform,6,2Q_100,100,1,20000,4825,15175,24.125000
uniform_06.txt,uniform,6,2Q_125,125,1,20000,6026,13974,30.130000
