dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
uniform,8,100,20000,2Q,3462,16538,0.1731
uniform,8,100,20000,LIRS,4997,15003,0.24985
uniform,8,100,20000,BELADY,11901,8099,0.59505
uniform,9,100,20000,LRU,4915,15085,0.24575
uniform,9,100,20000,LFU,4923,15077,0.24615
uniform,9,100,20000,ARC,4891,15109,0.24455
uniform,9,100,20000,2Q,3406,16594,0.1703
uniform,9,100,20000,LIRS,4973,15027,0.24865
uniform,9,100,20000,BELADY,11918,8082,0.5959
zipf,0,100,20000,LRU,16543,3457,0.82715
zipf,0,100,20000,LFU,17149,2851,0.85745
zipf,0,100,20000,ARC,16828,3172,0.8414
zipf,0,100,20000,2Q,16160,3840,0.808
zipf,0,100,20000,LIRS,16943,3057,0.84715
zipf,0,100,20000,BELADY,18193,1807,0.90965
zipf,1,100,20000,LRU,16491,3509,0.82455
zipf,1,100,20000,LFU,17153,2847,0.85765
zipf,1,100,20000,ARC,16819,3181,0.84095
zipf,1,100,20000,2Q,16148,3852,0.8074
zipf,1,100,20000,LIRS,16916,3084,0.8458
zipf,1,100,20000,BELADY,18194,1806,0.9097
zipf,2,100,20000,LRU,16538,3462,0.8269
zipf,2,100,20000,LFU,17157,2843,0.85785
zipf,2,100,20000,ARC,16871,3129,0.84355
zipf,2,100,20000,2Q,16189,3811,0.80945
zipf,2,100,20000,LIRS,16925,3075,0.84625
zipf,2,100,20000,BELADY,18212,1788,0.9106
zipf,3,100,20000,LRU,16497,3503,0.82485
zipf,3,100,20000,LFU,17216,2784,0.8608
zipf,3,100,20000,ARC,16895,3105,0.84475
zipf,3,100,20000,2Q,16251,3749,0.81255
zipf,3,100,20000,LIRS,16946,3054,0.8473
zipf,3,100,20000,BELADY,18197,1803,0.90985
zipf,4,100,20000,LRU,16458,3542,0.8229
zipf,4,100,20000,LFU,17212,2788,0.8606
zipf,4,100,20000,ARC,16776,3224,0.8388
zipf,4,100,20000,2Q,16138,3862,0.8069
zipf,4,100,20000,LIRS,16890,3110,0.8445
zipf,4,100,20000,BELADY,18160,1840,0.908
zipf,5,100,20000,LRU,16492,3508,0.8246
zipf,5,100,20000,LFU,17115,2885,0.85575
zipf,5,100,20000,ARC,16800,3200,0.84
zipf,5,100,20000,2Q,16178,3822,0.8089
zipf,5,100,20000,LIRS,16917,3083,0.84585
zipf,5,100,20000,BELADY,18169,1831,0.90845
zipf,6,100,20000,LRU,16511,3489,0.82555
zipf,6,100,20000,LFU,17042,2958,0.8521
zipf,6,100,20000,ARC,16827,3173,0.84135
zipf,6,100,20000,2Q,16162,3838,0.8081
zipf,6,100,20000,LIRS,16922,3078,0.8461
zipf,6,100,20000,BELADY,18190,1810,0.9095
zipf,7,100,20000,LRU,16499,3501,0.82495
zipf,7,100,20000,LFU,17149,2851,0.85745
zipf,7,100,20000,ARC,16886,3114,0.8443
zipf,7,100,20000,2Q,16226,3774,0.8113
zipf,7,100,20000,LIRS,16923,3077,0.84615
zipf,7,100,20000,BELADY,18183,1817,0.90915
zipf,8,100,20000,LRU,16554,3446,0.8277
zipf,8,100,20000,LFU,17047,2953,0.85235
zipf,8,100,20000,ARC,16866,3134,0.8433
zipf,8,100,20000,2Q,16230,3770,0.8115
zipf,8,100,20000,LIRS,16975,3025,0.84875
zipf,8,100,20000,BELADY,18217,1783,0.91085
zipf,9,100,20000,LRU,16475,3525,0.82375
zipf,9,100,20000,LFU,17124,2876,0.8562
zipf,9,100,20000,ARC,16847,3153,0.84235
zipf,9,100,20000,2Q,16168,3832,0.8084
zipf,9,100,20000,LIRS,16918,3082,0.8459
zipf,9,100,20000,BELADY,18196,1804,0.9098
normal,0,100,20000,LRU,9058,10942,0.4529
normal,0,100,20000,LFU,10314,9686,0.5157
normal,0,100,20000,ARC,9393,10607,0.46965
normal,0,100,20000,2Q,7179,12821,0.35895
normal,0,100,20000,LIRS,9793,10207,0.48965
normal,0,100,20000,BELADY,15113,4887,0.75565
normal,1,100,20000,LRU,9052,10948,0.4526
normal,1,100,20000,LFU,10273,9727,0.51365
normal,1,100,20000,ARC,9424,10576,0.4712
normal,1,100,20000,2Q,7055,12945,0.35275
normal,1,100,20000,LIRS,9671,10329,0.48355
normal,1,100,20000,BELADY,15071,4929,0.75355
normal,2,100,20000,LRU,8994,11006,0.4497
normal,2,100,20000,LFU,9919,10081,0.49595
