dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
lirs,3,100,31072,LRU,1549,29523,0.049851956745623066
lirs,3,100,31072,LFU,2214,28858,0.07125386199794027
lirs,3,100,31072,ARC,2214,28858,0.07125386199794027
lirs,3,100,31072,2Q,1831,29241,0.058927651905252315
lirs,3,100,31072,LIRS,17611,13461,0.5667803810504635
lirs,3,100,31072,BELADY,25549,5523,0.8222515447991761
lirs,4,100,31072,LRU,1544,29528,0.04969104016477858
lirs,4,100,31072,LFU,2214,28858,0.07125386199794027
lirs,4,100,31072,ARC,2214,28858,0.07125386199794027
lirs,4,100,31072,2Q,1834,29238,0.05902420185375901
lirs,4,100,31072,LIRS,17606,13466,0.566619464469619
lirs,4,100,31072,BELADY,25544,5528,0.8220906282183316
lirs,5,100,31072,LRU,1540,29532,0.049562306900102986
lirs,5,100,31072,LFU,2214,28858,0.07125386199794027
lirs,5,100,31072,ARC,2214,28858,0.07125386199794027
lirs,5,100,31072,2Q,1829,29243,0.05886328527291452
lirs,5,100,31072,LIRS,17602,13470,0.5664907312049433
lirs,5,100,31072,BELADY,25540,5532,0.821961894953656
lirs,6,100,31072,LRU,1537,29535,0.049465756951596294
lirs,6,100,31072,LFU,2214,28858,0.07125386199794027
lirs,6,100,31072,ARC,2214,28858,0.07125386199794027
lirs,6,100,31072,2Q,1837,29235,0.059120751802265704
lirs,6,100,31072,LIRS,17599,13473,0.5663941812564367
lirs,6,100,31072,BELADY,25537,5535,0.8218653450051493
lirs,7,100,31072,LRU,1548,29524,0.04981977342945417
lirs,7,100,31072,LFU,2214,28858,0.07125386199794027
lirs,7,100,31072,ARC,2214,28858,0.07125386199794027
lirs,7,100,31072,2Q,1837,29235,0.059120751802265704
lirs,7,100,31072,LIRS,17610,13462,0.5667481977342945
lirs,7,100,31072,BELADY,25548,5524,0.8222193614830072
lirs,8,100,31072,LRU,1544,29528,0.04969104016477858
lirs,8,100,31072,LFU,2214,28858,0.07125386199794027
lirs,8,100,31072,ARC,2214,28858,0.07125386199794027
lirs,8,100,31072,2Q,1832,29240,0.05895983522142122
lirs,8,100,31072,LIRS,17606,13466,0.566619464469619
lirs,8,100,31072,BELADY,25544,5528,0.8220906282183316
lirs,9,100,31072,LRU,1548,29524,0.04981977342945417
lirs,9,100,31072,LFU,2214,28858,0.07125386199794027
lirs,9,100,31072,ARC,2214,28858,0.07125386199794027
lirs,9,100,31072,2Q,1841,29231,0.0592494850669413
lirs,9,100,31072,LIRS,17610,13462,0.5667481977342945
lirs,9,100,31072,BELADY,25548,5524,0.8222193614830072
belady,0,100,20200,LRU,0,20200,0.0
belady,0,100,20200,LFU,0,20200,0.0
belady,0,100,20200,ARC,0,20200,0.0
belady,0,100,20200,2Q,0,20200,0.0
belady,0,100,20200,LIRS,15920,4280,0.7881188118811882
belady,0,100,20200,BELADY,19899,301,0.9850990099009901
belady,1,100,20200,LRU,0,20200,0.0
belady,1,100,20200,LFU,0,20200,0.0
belady,1,100,20200,ARC,0,20200,0.0
belady,1,100,20200,2Q,0,20200,0.0
belady,1,100,20200,LIRS,15920,4280,0.7881188118811882
belady,1,100,20200,BELADY,19899,301,0.9850990099009901
belady,2,100,20200,LRU,0,20200,0.0
belady,2,100,20200,LFU,0,20200,0.0
belady,2,100,20200,ARC,0,20200,0.0
belady,2,100,20200,2Q,0,20200,0.0
belady,2,100,20200,LIRS,15920,4280,0.7881188118811882
belady,2,100,20200,BELADY,19899,301,0.9850990099009901
belady,3,100,20200,LRU,0,20200,0.0
belady,3,100,20200,LFU,0,20200,0.0
belady,3,100,20200,ARC,0,20200,0.0
belady,3,100,20200,2Q,0,20200,0.0
belady,3,100,20200,LIRS,15920,4280,0.7881188118811882
belady,3,100,20200,BELADY,19899,301,0.9850990099009901
belady,4,100,20200,LRU,0,20200,0.0
belady,4,100,20200,LFU,0,20200,0.0
belady,4,100,20200,ARC,0,20200,0.0
belady,4,100,20200,2Q,0,20200,0.0
belady,4,100,20200,LIRS,15920,4280,0.7881188118811882
belady,4,100,20200,BELADY,19899,301,0.9850990099009901
belady,5,100,20200,LRU,0,20200,0.0
belady,5,100,20200,LFU,0,20200,0.0
belady,5,100,20200,ARC,0,20200,0.0
belady,5,100,20200,2Q,0,20200,0.0
belady,5,100,20200,LIRS,15920,4280,0.7881188118811882
belady,5,100,20200,BELADY,19899,301,0.9850990099009901
belady,6,100,20200,LRU,0,20200,0.0
belady,6,100,20200,LFU,0,20200,0.0
belady,6,100,20200,ARC,0,20200,0.0
belady,6,100,20200,2Q,0,20200,0.0
belady,6,100,20200,LIRS,15920,4280,0.7881188118811882
belady,6,100,20200,BELADY,19899,301,0.9850990099009901
belady,7,100,20200,LRU,0,20200,0.0
belady,7,100,20200,LFU,0,20200,0.0
belady,7,100,20200,ARC,0,20200,0.0
belady,7,100,20200,2Q,0,20200,0.0
belady,7,100,20200,LIRS,15920,4280,0.7881188118811882
belady,7,100,20200,BELADY,19899,301,0.9850990099009901
belady,8,100,20200,LRU,0,20200,0.0
belady,8,100,20200,LFU,0,20200,0.0
belady,8,100,20200,ARC,0,20200,0.0
belady,8,100,20200,2Q,0,20200,0.0
belady,8,100,20200,LIRS,15920,4280,0.7881188118811882
belady,8,100,20200,BELADY,19899,301,0.9850990099009901
belady,9,100,20200,LRU,0,20200,0.0
belady,9,100,20200,LFU,0,20200,0.0
belady,9,100,20200,ARC,0,20200,0.0
belady,9,100,20200,2Q,0,20200,0.0
belady,9,100,20200,LIRS,15920,4280,0.7881188118811882
belady,9,100,20200,BELADY,19899,301,0.9850990099009901
