dataset,capacity,algorithm,hits,requests,hit_rate
lirs,150,ARC,26816,31072,0.86302780638517
lirs,150,2Q,1650,31072,0.05310247167868177
lirs,150,LIRS,22863,31072,0.735807157569516
lirs,150,BELADY,26934,31072,0.8668254376930999
lirs,200,LRU,26904,31072,0.865859938208033
lirs,200,LFU,2832,31072,0.09114315139031925
lirs,200,ARC,26840,31072,0.8638002059732235
lirs,200,2Q,1543,31072,0.049658856848609684
lirs,200,LIRS,22920,31072,0.7376416065911432
lirs,200,BELADY,26934,31072,0.8668254376930999
belady,50,LRU,0,20200,0.0
belady,50,LFU,0,20200,0.0
belady,50,ARC,0,20200,0.0
belady,50,2Q,0,20200,0.0
belady,50,LIRS,7960,20200,0.3940594059405941
belady,50,BELADY,9849,20200,0.48757425742574256
belady,100,LRU,0,20200,0.0
belady,100,LFU,0,20200,0.0
belady,100,ARC,0,20200,0.0
belady,100,2Q,0,20200,0.0
belady,100,LIRS,15920,20200,0.7881188118811882
belady,100,BELADY,19899,20200,0.9850990099009901
belady,150,LRU,20099,20200,0.995
belady,150,LFU,20099,20200,0.995
belady,150,ARC,20099,20200,0.995
belady,150,2Q,0,20200,0.0
belady,150,LIRS,20099,20200,0.995
belady,150,BELADY,20099,20200,0.995
belady,200,LRU,20099,20200,0.995
belady,200,LFU,20099,20200,0.995
belady,200,ARC,20099,20200,0.995
belady,200,2Q,0,20200,0.0
belady,200,LIRS,20099,20200,0.995
belady,200,BELADY,20099,20200,0.995
